participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,1,0,judge,10,4,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,4073
20,1,1,cue,10,4,6,intermixed,random,large,color,#660fbd,neutral,even,NA,NA,NA
20,1,1,judge,10,4,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,3887
20,1,2,cue,6,2,4,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,2,judge,6,2,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,1017
20,1,3,cue,8,2,6,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,3,judge,8,2,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,2733
20,1,4,cue,10,6,4,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
20,1,4,judge,10,6,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1918
20,1,5,cue,8,4,4,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
20,1,5,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1490
20,1,6,cue,4,2,2,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
20,1,6,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,1121
20,1,7,cue,8,6,2,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
20,1,7,judge,8,6,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2290
20,1,8,cue,10,6,4,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
20,1,8,judge,10,6,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,2650
20,1,9,cue,12,6,6,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
20,1,9,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2817
20,1,10,cue,6,4,2,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
20,1,10,judge,6,4,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1427
20,1,11,cue,12,6,6,intermixed,random,large,color,#660fbd,neutral,even,NA,NA,NA
20,1,11,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,1665
20,1,12,cue,8,4,4,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
20,1,12,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,2003
20,1,13,cue,10,4,6,intermixed,random,large,color,#660fbd,neutral,even,NA,NA,NA
20,1,13,judge,10,4,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1867
20,1,14,cue,8,2,6,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
20,1,14,judge,8,2,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,3502
20,1,15,cue,6,2,4,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,15,judge,6,2,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1298
20,1,16,cue,4,2,2,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,16,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,937
20,1,17,cue,10,6,4,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
20,1,17,judge,10,6,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,3899
20,1,18,cue,4,2,2,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
20,1,18,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,1183
20,1,19,cue,8,6,2,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
20,1,19,judge,8,6,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,2388
20,1,20,cue,10,4,6,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,20,judge,10,4,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,961
20,1,21,cue,8,6,2,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
20,1,21,judge,8,6,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,3062
20,1,22,cue,8,6,2,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
20,1,22,judge,8,6,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,1067
